px-x px-y   scale       angle
3044 2147 0.4710648438 -180.29
3037 2146 0.4709583594 -179.388
3027 2144 0.4712888281 -179.427
3014 2142 0.4709473438 -179.533
2999 2140 0.4702386719 -180.138
2981 2137 0.469794375 -180.424
2960 2135 0.4698861719 -180.067
2937 2133 0.4702460156 -180.09
2914 2131 0.4704846875 -180.448
2893 2129 0.4706389063 -180.882
2873 2127 0.4707380469 -180.609
2857 2125 0.471380625 -180.898
2844 2124 0.4717625 -181.441
2834 2123 0.4717955469 -181.624
2827 2123 0.4718065625 -181.781
2822 2123 0.4715385156 -182.065
2818 2122 0.4712925 -181.118
2813 2122 0.4708628906 -181.327
2806 2121 0.4706866406 -179.878
2797 2119 0.4710758594 -179.923
2785 2117 0.470558125 -179.996
2770 2115 0.4697833594 -180.237
2753 2111 0.4700403906 -180.605
2734 2107 0.4697282813 -180.529
2713 2103 0.4698384375 -180.194
2691 2098 0.4700367188 -179.697
2669 2094 0.4702900781 -180.645
2648 2089 0.470616875 -180.057
2629 2085 0.4708371875 -180.642
2611 2082 0.4710648438 -181.058
2595 2080 0.4714650781 -182.019
2581 2080 0.4715532031 -181.759
2568 2080 0.4714944531 -181.299
2556 2081 0.4710317969 -181.253
2544 2082 0.4708482031 -181.084
2532 2082 0.4702864063 -181.2
2520 2082 0.4701321875 -180.869
2507 2081 0.4696034375 -180.725
2493 2079 0.4694161719 -180.317
2480 2075 0.4697282813 -180.525
2467 2071 0.4694602344 -180.567
2453 2067 0.4695520313 -179.617
2438 2062 0.4694014844 -179.403
2423 2058 0.4696217969 -180.933
2407 2055 0.4699779688 -181.054
2389 2053 0.4698604688 -180.287
2371 2052 0.4698861719 -180.818
2355 2052 0.4700991406 -180.869
2340 2052 0.4703304688 -181.552
2326 2052 0.4708188281 -179.477
2313 2052 0.4703635156 -174.936
2300 2050 0.4705801563 -169.935
2286 2047 0.4701652344 -161.049
2270 2041 0.4699669531 -151.786
2254 2031 0.4695189844 -143.3921
2238 2018 0.4694528906 -138.6116
2223 2000 0.4697907031 -132.9297
