px-x px-y   scale       angle
2209 1979 0.470029375 -129.1223
2196 1956 0.470146875 -125.7836
2187 1930 0.4702239844 -120.9183
2180 1905 0.4699485938 -116.1417
2177 1881 0.4698678125 -110.8821
2177 1859 0.4697429688 -106.6141
2179 1841 0.46953 -102.6446
2182 1825 0.46958875 -100.9206
2186 1814 0.4697099219 -103.7803
2190 1806 0.4702276563 -104.4841
2193 1801 0.4705911719 -104.2656
2194 1797 0.4708261719 -104.4352
2195 1792 0.4707527344 -104.2848
2193 1785 0.4699265625 -103.8458
2190 1776 0.4700514063 -103.9483
2187 1762 0.4700330469 -103.345
2182 1746 0.47 -103.367
2178 1725 0.47005875 -103.8686
2174 1703 0.4697907031 -105.8548
2170 1681 0.4695924219 -111.3372
2165 1661 0.4695116406 -115.9221
2161 1643 0.4697282813 -122.2031
2157 1629 0.4701542188 -133.541
2151 1620 0.4706939844 -143.6141
2143 1615 0.4708922656 -153.453
2131 1614 0.470910625 -163.372
2115 1615 0.4707380469 -166.415
2095 1615 0.4703341406 -171.631
2072 1614 0.4697796875 -177.55
2046 1612 0.4692289063 -182.121
2016 1609 0.4692509375 -187.282
1986 1605 0.4693978125 -190.376
1956 1602 0.4695557031 -196.118
1928 1599 0.4697613281 -202.596
1908 1598 0.4701872656 -206.067
1905 1599 0.4706278906 -206.985
1905 1599 0.47064625 -205.807
1905 1600 0.4705948438 -208.746
1902 1601 0.4701799219 -216.439
1895 1605 0.46994125 -223.255
1885 1611 0.4698017188 127.882
1871 1620 0.4700844531 118.342
1855 1632 0.4697723438 103.969
1841 1646 0.4709253125 100.182
1828 1662 0.4726364063 93.488
1818 1678 0.4746522656 89.743
1812 1694 0.4797084375 82.626
1809 1710 0.4878820313 82.205
1808 1726 0.497495 81.918
1810 1741 0.5072989063 78.953
1816 1757 0.5177710938 76.257
1825 1772 0.5270425781 75.454
1837 1788 0.5367510156 76.308
1849 1805 0.5471130469 77.709
1860 1825 0.5569757031 76.615
1869 1846 0.567201875 75.007
1878 1869 0.5753607813 71.733
1884 1893 0.5858770313 70.9
1890 1920 0.5951815625 71.079
1895 1949 0.6045301563 71.829
1899 1981 0.6092852344 70.064
1903 2013 0.6099204688 69.771
1906 2041 0.6101628125 69.626
1907 2058 0.6099682031 69.175
1907 2063 0.61000125 69.867
1906 2072 0.609795625 70.246
1906 2085 0.6097735938 69.921
1906 2097 0.6097735938 70.073
1906 2110 0.6098029688 70.316
1907 2122 0.6096634375 70.142
1910 2134 0.609619375 70.059
1912 2145 0.6096597656 70.213
1915 2156 0.6096450781 69.995
1918 2167 0.6098507031 70.288
1922 2179 0.6098764063 69.822
1925 2193 0.6097075 69.691
1930 2208 0.6097515625 69.809
1934 2225 0.6098764063 69.924
1939 2243 0.6098764063 69.631
1943 2263 0.6098507031 69.846
1948 2283 0.6098507031 70.027
1953 2302 0.6097919531 70.027
1957 2320 0.6097919531 69.721
1961 2337 0.6095496094 69.748
1964 2353 0.609560625 69.75
1968 2369 0.6096340625 70.028
1972 2383 0.6096524219 69.869
1975 2397 0.6096744531 69.723
1978 2411 0.6099939063 70.062
1981 2425 0.6100783594 69.834
1983 2438 0.609913125 69.62
1986 2452 0.6099792188 70.226
1989 2466 0.6099351563 69.929
1991 2480 0.6099388281 70.025
1995 2494 0.6098286719 69.81
1999 2509 0.6098176563 70.018
2004 2525 0.6098139844 69.522
2008 2541 0.6097809375 69.682
2012 2557 0.609560625 69.871
2015 2574 0.6096560938 70.169
2019 2591 0.6096744531 69.957
2022 2608 0.6096744531 59.22
2026 2626 0.6095789844 38.2936
2032 2643 0.6093586719 37.3788
2040 2660 0.6095716406 34.0635
2050 2676 0.6098910938 28.5884
2061 2691 0.6097735938 24.7623
2075 2705 0.6097552344 19.095
2091 2718 0.6096267188 13.1021
2107 2729 0.6099902344 9.5626
2124 2738 0.6098984375 5.1565
2143 2745 0.6099865625 0.5417
2163 2751 0.6098947656 -5.3669
2185 2756 0.6101811719 -10.9688
2208 2760 0.6104271875 -14.9466
2232 2761 0.6103023438 -19.6081
2256 2761 0.6105483594 -22.9487
2275 2759 0.6101407813 -28.709
2279 2757 0.6104896094 -24.4574
2280 2756 0.6108457813 -25.2754
2282 2755 0.6107466406 -25.7382
2284 2754 0.6106254688 -26.8462
2286 2753 0.6103170313 -27.2197
2286 2752 0.6102619531 -45.71149
2290 2750 0.6100122656 -48.40065
2302 2742 0.6098470313 -46.71554
2322 2727 0.6101517969 -47.56658
2349 2705 0.61023625 -49.10893
2385 2679 0.6101775 -46.96927
2423 2651 0.6108274219 -47.18526
2459 2622 0.6104455469 -47.80925
2495 2595 0.6102913281 -47.79191
2530 2568 0.6101150781 -47.62339
2565 2542 0.609736875 -47.4497
2600 2516 0.6091934375 -47.62916
2635 2490 0.609795625 -46.89566
2671 2464 0.6102325781 -47.14308
2706 2437 0.6101003906 -47.80178
2741 2411 0.6105116406 -47.35673
2775 2383 0.6104602344 -47.59424
2810 2356 0.6107392969 -47.12378
2845 2329 0.6108347656 -47.24727
2879 2301 0.6103464063 -47.35241
2913 2272 0.6104639063 -47.09219
2947 2244 0.61011875 -47.42159
2977 2217 0.6103757813 -46.70656
2997 2197 0.6097258594 -46.49396
3010 2186 0.6093586719 -48.81565
3018 2181 0.6097038281 -49.4847
3019 2182 0.6104308594 -46.32803
3019 2183 0.6104822656 -46.93241
3020 2182 0.6087785156 -48.22343
3019 2183 0.605154375 -48.47063
3018 2183 0.6007517969 -49.97445
3018 2183 0.5964042969 -68.2165
3018 2183 0.5951778906 -67.7242
3018 2182 0.5948621094 -67.7395
3019 2182 0.5948988281 -64.2794
3020 2181 0.5949539063 -58.7358
3024 2178 0.5948253906 -50.31323
3030 2173 0.5949135156 -47.36724
3040 2166 0.595284375 -48.0333
3053 2156 0.5948767969 -43.9783734
3069 2144 0.5946711719 -42.94649
3089 2130 0.5945316406 -41.35366
3111 2116 0.5947078906 -38.91696
3134 2102 0.5947739844 -34.65633
3159 2087 0.5949832813 -32.7757
3185 2073 0.5950640625 -33.1936
3213 2059 0.5953210938 -29.3152
3242 2047 0.5953578125 -26.6263
3270 2037 0.5953945313 -24.5406
3298 2029 0.5954165625 -22.14
3324 2023 0.5953541406 -19.7491
3350 2018 0.5954716406 -20.0002
3374 2014 0.5955157031 -20.9259
3397 2011 0.5956221875 -21.2823
3420 2007 0.5955891406 -21.1805
3443 2003 0.5957103125 -21.1625
3467 1999 0.5957947656 -21.0985
3491 1993 0.5958828906 -21.5154
3514 1987 0.5959049219 -21.197
3535 1982 0.5959453125 -21.5334
3557 1976 0.5960664844 -20.8714
3582 1971 0.5959526563 -19.9355
3610 1964 0.5962500781 -18.6606
3641 1957 0.59625375 -18.4762
3672 1951 0.5960958594 -19.4059
3704 1944 0.5959232813 -18.0176
3735 1937 0.5956185156 -17.4655
3765 1932 0.5955120313 -15.8067
3793 1928 0.5952623438 -12.5616
3819 1924 0.5951705469 -9.9587
3844 1922 0.5953982031 -7.6345
3867 1920 0.5952770313 -0.4544
3890 1920 0.5952292969 6.1012
3912 1921 0.5954569531 12.2302
3933 1924 0.59549 20.4412
3954 1931 0.5957286719 28.4135
3974 1941 0.5958939063 35.6329
3994 1956 0.5958498438 41.7803
4014 1974 0.595519375 46.6856
4034 1995 0.5953357813 53.9573
4052 2019 0.5952696875 59.045
4069 2044 0.595519375 63.464
4082 2071 0.5955744531 70.642
4093 2100 0.5956919531 76.755
4101 2129 0.5957066406 81.885
4106 2159 0.5955854688 90.562
4107 2188 0.5954973438 96.188
4105 2216 0.5951925781 97.465
4101 2244 0.5953321094 96.846
4095 2269 0.595284375 96.469
4088 2291 0.5954789844 96.998
4081 2310 0.595343125 96.067
4073 2326 0.5950824219 96.396
4065 2341 0.5948510938 96.109
4057 2357 0.5948988281 96.606
4049 2373 0.5949098438 96.971
4041 2390 0.5951117969 96.722
4034 2408 0.5951558594 97.06
4026 2429 0.5950236719 96.798
4019 2450 0.5949171875 97.024
4013 2471 0.5947335938 96.84
4006 2495 0.5946271094 96.655
4000 2519 0.59484375 97.158
3994 2546 0.5946785156 96.666
3988 2573 0.5947960156 116.424
3980 2598 0.59484375 127.652
3970 2622 0.59472625 -221.817
3957 2645 0.5949722656 -211.325
3942 2664 0.5947372656 -202.372
3925 2680 0.594696875 -193.816
3906 2693 0.5945867188 -185.801
3885 2702 0.5943260156 -183.553
3864 2708 0.5942599219 -180.39
3843 2710 0.5945316406 -176.621
3822 2710 0.5947005469 -183.175
3801 2708 0.5951852344 -185.675
3779 2706 0.5950677344 -185.492
3757 2704 0.5951264844 -186.039
3734 2702 0.5952623438 -186.336
3711 2699 0.5954128906 -185.955
3688 2697 0.5951742188 -186.037
3665 2695 0.5951925781 -185.508
3642 2693 0.5953100781 -185.206
3618 2690 0.5942782813 -184.764
3592 2686 0.5917924219 -184.938
3564 2681 0.5892808594 -184.85
3533 2676 0.5873567969 -184.933
3499 2671 0.5853446094 -184.672
3464 2666 0.5835967969 -184.652
3428 2661 0.5833875 -184.915
3394 2657 0.5833471094 -184.985
3361 2653 0.5835307031 -184.478
3328 2650 0.5834425781 -185.03
3295 2648 0.5835123438 -185.597
3262 2647 0.5834095313 -184.947
3228 2646 0.5834095313 -185.126
3194 2645 0.5833875 -185.366
3160 2646 0.5833250781 -180.917
3128 2646 0.5831745313 -172.087
3097 2645 0.5831855469 -163.965
3068 2641 0.5832846875 -156.566
3040 2632 0.5832773438 -146.414
3014 2618 0.5833250781 -137.2332
2990 2600 0.5830827344 -120.2433
2970 2578 0.5777952344 -118.6932
2953 2553 0.5691920313 -104.3252
2941 2531 0.5604235938 -80.4724
2938 2521 0.5510860156 -69.4386
2940 2520 0.5412417188 -69.9687
2945 2515 0.5312138281 -71.2422
2952 2503 0.52222875 -72.1546
2962 2485 0.5136732813 -77.8837
2974 2460 0.5050039844 -79.2719
2987 2431 0.4957802344 -76.0811
3000 2396 0.4864463281 -84.1271
3012 2358 0.476491875 -90.7477
3022 2319 0.46629875 -92.0964
3026 2290 0.4555291406 -89.9127
3026 2268 0.4450239063 -91.1257
3027 2244 0.4344672656 -91.3683
3027 2221 0.4242521094 -90.3043
3026 2213 0.4146575 -91.9385
3025 2213 0.4046369531 -91.6759
3025 2213 0.394300625 -90.312
3025 2212 0.3839863281 -92.768
3024 2212 0.3735251563 -93.2775
3024 2213 0.3642378828 -90.8041
3024 2214 0.3545129219 -91.779
3025 2214 0.3454613828 -91.5775
3025 2214 0.3358987188 -90.9748
3025 2212 0.3270472969 -91.345
3026 2206 0.3181437344 -87.8596
3028 2195 0.3085682188 -98.703
3029 2182 0.2989225703 -102.6266
3029 2165 0.2896055547 -93.0596
3028 2153 0.2804622188 -73.4486
3028 2151 0.2710853516 -71.6866
3029 2151 0.2613310156 -71.2215
