px-x px-y   scale       angle
3579 3035 0.4936064844 37.8627
3592 3046 0.493353125 37.8371
3605 3056 0.4932576563 38.4829
3616 3065 0.4931989063 37.8549
3627 3075 0.4931034375 38.3064
3636 3083 0.4930630469 37.982
3644 3091 0.4931511719 38.1793
3651 3099 0.49320625 38.0401
3659 3108 0.4932099219 38.2348
3668 3119 0.4933164063 37.6958
3676 3130 0.4933421094 37.7416
3682 3140 0.4933714844 38.0468
3689 3149 0.4932319531 38.5165
3698 3161 0.4933861719 38.3195
3707 3174 0.4932025781 36.5507
3717 3186 0.4931621875 38.1431
3727 3198 0.4928464063 38.2403
3737 3209 0.49285375 37.7681
3748 3221 0.4928464063 37.5541
3758 3232 0.4928133594 37.8386
3769 3243 0.4926775 37.8219
3779 3253 0.4927509375 37.7807
3789 3262 0.4930373438 37.3681
3798 3271 0.49297125 37.5278
3807 3280 0.4931585156 36.9574
3817 3289 0.4932870313 36.5595
3826 3298 0.4934155469 41.2638
3836 3309 0.493235625 48.3867
3847 3322 0.4930336719 54.2966
3859 3337 0.492883125 59.588
3871 3355 0.4927215625 64.221
3883 3375 0.4928023438 65.564
3896 3398 0.4931548438 67.378
3908 3421 0.4934853125 71.539
3921 3446 0.493470625 76.593
3931 3471 0.4936211719 79.187
3940 3497 0.4938671875 79.749
3947 3522 0.4943335156 80.379
3951 3541 0.4950752344 80.316
3954 3558 0.4961364063 84.579
3957 3577 0.4975096875 90.563
3958 3598 0.4990959375 93.675
3956 3619 0.5007776563 94.851
3953 3641 0.5021913281 95.572
3949 3662 0.5026319531 95.712
3946 3673 0.5023969531 92.363
3945 3679 0.5026099219 96.916
3941 3688 0.5023896094 107.561
3937 3698 0.5021509375 114.207
3930 3709 0.5023932813 120.705
3922 3720 0.5025438281 122.003
3912 3731 0.5027347656 122.123
3901 3742 0.5028485938 122.044
3890 3751 0.5026576563 121.344
3881 3757 0.5044017969 121.44
3872 3763 0.5073172656 121.725
3864 3768 0.5131775781 122.03
3858 3772 0.5197392188 121.784
3851 3777 0.5283938281 121.764
3844 3784 0.5401217969 121.569
3836 3793 0.5530871875 121.953
3827 3803 0.5642753906 122.613
3819 3817 0.5745089063 125.055
3809 3832 0.5850178125 131.418
3798 3845 0.5944398438 133.429
3788 3857 0.6024628906 134.982
3779 3867 0.6092264844 -219.683
3769 3874 0.6165408594 -215.997
3759 3881 0.6232310156 -211.165
3749 3886 0.6295796875 -211.113
3740 3889 0.6347607031 -211.943
3731 3891 0.6402354688 -211.749
3721 3894 0.6459489063 -209.518
3713 3897 0.6514236719 -206.905
3704 3899 0.6564321094 -206.011
3695 3900 0.6611210938 -205.357
3684 3902 0.6616461719 -199.466
3670 3903 0.6619252344 -195.912
3656 3905 0.6620207031 -194.963
3642 3908 0.6615323438 -194.459
3628 3909 0.6612422656 -192.164
3613 3909 0.6610403125 -190.891
3598 3910 0.6610770313 -186.459
3582 3910 0.6611027344 -184.259
3564 3909 0.6612128906 -180.987
3546 3907 0.6612202344 -174.826
3526 3903 0.6611871875 -165.144
3508 3896 0.6611027344 -155.681
3491 3887 0.6612642969 -149.576
3474 3876 0.6614882813 -143.8712
3459 3863 0.6618517969 -139.995
3443 3846 0.661906875 -134.0954
3427 3827 0.6619032031 -128.9864
3411 3806 0.6619435938 -124.4158
3397 3782 0.6618077344 -119.6627
3385 3758 0.6618921875 -115.5097
3375 3733 0.6617967188 -112.192
3367 3709 0.66176 -110.8953
3361 3687 0.6615066406 -110.7642
3357 3667 0.6612936719 -110.5259
3355 3651 0.6612202344 -111.0151
3354 3639 0.6613010156 -110.9412
3353 3630 0.6616498438 -111.0721
3354 3628 0.6624282813 -111.1821
3354 3630 0.6627550781 -110.9647
3355 3630 0.6622850781 -104.8896
3357 3627 0.6618664844 -96.8865
3360 3621 0.6613046875 -96.5746
3362 3615 0.66087875 -96.435
3365 3608 0.6610072656 -96.64
3367 3595 0.6609778906 -96.5363
3369 3579 0.6609338281 -96.9684
3370 3558 0.6610807031 -99.6614
3370 3533 0.6613230469 -99.5697
3368 3505 0.6613157031 -99.4356
3365 3477 0.6616241406 -99.6989
3360 3447 0.6620207031 -99.9353
3357 3415 0.6620794531 -99.5899
3355 3384 0.6619729688 -99.6777
3353 3355 0.6618811719 -100.0064
3352 3327 0.6617967188 -99.9325
3351 3302 0.6618921875 -99.5275
3350 3279 0.6621088281 -99.4051
3349 3258 0.6620500781 -99.7849
3348 3237 0.66223 -100.3007
3348 3218 0.6623548438 -101.0714
3348 3198 0.6627036719 -105.7687
3347 3177 0.6626265625 -110.7959
3344 3154 0.6625898438 -111.2799
3340 3129 0.6626045313 -116.3462
3334 3103 0.66223 -121.2312
3326 3076 0.662083125 -129.4165
3314 3049 0.6622116406 -138.5391
3296 3021 0.6621675781 -146.947
3273 2995 0.6621382031 -152.946
3246 2970 0.6623438281 -161.931
3215 2947 0.6624025781 -162.636
3182 2927 0.6625751563 -162.743
3148 2910 0.6625310938 -163.151
3114 2895 0.6625384375 -163.16
3081 2881 0.6621896094 -163.087
3050 2868 0.6621602344 -162.939
3021 2857 0.6620280469 -162.996
2993 2847 0.661965625 -162.917
2967 2838 0.6618554688 -163.183
2942 2830 0.6617930469 -163.634
2919 2823 0.6618885156 -164.925
2896 2815 0.6617783594 -160.884
2872 2806 0.6619325781 -156.141
2847 2793 0.6620978125 -149.765
2821 2776 0.6621492188 -147.026
2793 2756 0.6620207031 -143.7315
2766 2732 0.6618077344 -140.0328
2739 2706 0.6616571875 -136.9264
2714 2679 0.6612532813 -135.6531
2693 2651 0.6608750781 -132.9641
2674 2623 0.6605996875 -132.3314
2656 2594 0.6604491406 -125.6317
2641 2565 0.6605189063 -119.4264
2628 2534 0.6607208594 -115.0983
2618 2501 0.6610329688 -111.4746
2610 2466 0.6612275781 -106.0045
2605 2429 0.6615690625 -100.6461
2601 2390 0.661906875 -96.7918
2600 2352 0.6622703906 -94.6616
2601 2313 0.6630965625 -90.1579
2605 2274 0.663434375 -87.5021
2612 2235 0.6638015625 -84.1238
2622 2196 0.6646203906 -80.7367
2634 2157 0.6652005469 -77.0817
2649 2119 0.6653290625 -69.4894
2666 2083 0.665784375 -62.7694
2687 2049 0.666665625 -57.2761
2711 2017 0.6668235156 -52.06096
2739 1988 0.6671539844 -42.86672
2769 1963 0.6674771094 -31.1312
2793 1947 0.6672861719 -24.1314
2806 1941 0.6673302344 0.0027
2826 1939 0.6671466406 6.2155
2853 1942 0.6672861719 11.3713
2888 1947 0.6674 17.8016
2926 1956 0.6652152344 37.7128
2966 1970 0.6609632031 56.713
3004 1990 0.6549119531 72.169
3028 2006 0.6491801563 70.218
3032 2012 0.6469953906 87.144
3034 2016 0.6398021875 105.399
3036 2019 0.6314046094 125.837
3037 2023 0.6227720313 -214.169
3038 2025 0.6150207031 -206.937
3038 2024 0.6065717188 -204.304
3038 2024 0.5978877344 -193.802
3039 2024 0.5890899219 -179.933
3039 2023 0.5801342188 -153.394
3040 2023 0.5716338281 -129.0878
3039 2023 0.5631517969 -113.3643
3039 2023 0.5552939844 -111.5684
3039 2022 0.5474251563 -110.4616
3039 2022 0.5393874219 -113.0354
3038 2021 0.5310853125 -113.2463
3037 2021 0.5218689063 -112.9816
3036 2021 0.5134309375 -110.2748
3036 2021 0.5049048438 -111.3717
3036 2021 0.497495 -111.0257
3036 2021 0.4892002344 -110.6354
3037 2021 0.4802775781 -111.0008
3037 2026 0.4725960156 -109.2532
3038 2035 0.4649585156 -103.8079
3041 2048 0.4559146875 -106.945
3046 2064 0.4462466406 -117.665
3051 2078 0.437070625 -114.0465
3054 2082 0.42728875 -108.9116
3056 2083 0.4172535156 -113.5968
3058 2091 0.4091607031 -111.7603
3062 2104 0.399764375 -110.1609
3068 2119 0.3909922656 -114.0654
3075 2136 0.3822789063 -111.9842
3082 2152 0.3731616406 -112.2378
3086 2162 0.3644475469 -107.3998
3088 2163 0.3551716563 -103.7007
3089 2163 0.3463745781 -115.1129
3089 2163 0.3378337969 -126.8821
3088 2163 0.3289350078 -129.8239
3088 2162 0.3200207969 -136.2897
3087 2161 0.3113177188 -146.564
3087 2162 0.3023164844 -147.549
3087 2162 0.2928915156 -147.43
3084 2159 0.2838366719 -156.867
